date,value,elevation,station_id
2018-06-22,63.0,1722,GHCND:USR0000CBOG
2018-06-22,76.0,1267,GHCND:USR0000CLAS
2018-06-22,64.0,1725,GHCND:USR0000CMAN
2018-06-22,68.0,1767,GHCND:USR0000CWES
2018-06-22,80.0,736,GHCND:USR0000CWHT
2018-06-21,75.0,736,GHCND:USR0000CWHT
2018-06-21,60.0,1722,GHCND:USR0000CBOG
2018-06-21,73.0,1267,GHCND:USR0000CLAS
2018-06-21,61.0,1725,GHCND:USR0000CMAN
2018-06-21,65.0,1767,GHCND:USR0000CWES
2018-06-20,74.0,736,GHCND:USR0000CWHT
2018-06-20,60.0,1722,GHCND:USR0000CBOG
2018-06-20,71.0,1267,GHCND:USR0000CLAS
2018-06-20,60.0,1725,GHCND:USR0000CMAN
2018-06-20,65.0,1767,GHCND:USR0000CWES
2018-06-19,74.0,736,GHCND:USR0000CWHT
2018-06-19,57.0,1722,GHCND:USR0000CBOG
2018-06-19,71.0,1267,GHCND:USR0000CLAS
2018-06-19,59.0,1725,GHCND:USR0000CMAN
2018-06-19,62.0,1767,GHCND:USR0000CWES
2017-06-22,89.0,736,GHCND:USR0000CWHT
2017-06-22,67.0,1722,GHCND:USR0000CBOG
2017-06-22,85.0,1267,GHCND:USR0000CLAS
2017-06-22,72.0,1725,GHCND:USR0000CMAN
2017-06-22,72.0,1767,GHCND:USR0000CWES
2017-06-21,69.0,1722,GHCND:USR0000CBOG
2017-06-21,85.0,1267,GHCND:USR0000CLAS
2017-06-21,72.0,1725,GHCND:USR0000CMAN
2017-06-21,74.0,1767,GHCND:USR0000CWES
2017-06-21,88.0,736,GHCND:USR0000CWHT
2017-06-20,87.0,736,GHCND:USR0000CWHT
2017-06-20,67.0,1722,GHCND:USR0000CBOG
2017-06-20,83.0,1267,GHCND:USR0000CLAS
2017-06-20,72.0,1725,GHCND:USR0000CMAN
2017-06-20,76.0,1767,GHCND:USR0000CWES
2017-06-19,81.0,736,GHCND:USR0000CWHT
2017-06-19,63.0,1722,GHCND:USR0000CBOG
2017-06-19,83.0,1267,GHCND:USR0000CLAS
2017-06-19,67.0,1725,GHCND:USR0000CMAN
2017-06-19,75.0,1767,GHCND:USR0000CWES
2016-06-22,76.0,736,GHCND:USR0000CWHT
2016-06-22,61.0,1722,GHCND:USR0000CBOG
2016-06-22,72.0,1267,GHCND:USR0000CLAS
2016-06-22,61.0,1725,GHCND:USR0000CMAN
2016-06-22,66.0,1767,GHCND:USR0000CWES
2016-06-21,75.0,736,GHCND:USR0000CWHT
2016-06-21,60.0,1722,GHCND:USR0000CBOG
2016-06-21,73.0,1267,GHCND:USR0000CLAS
2016-06-21,60.0,1725,GHCND:USR0000CMAN
2016-06-21,67.0,1767,GHCND:USR0000CWES
2016-06-20,71.0,736,GHCND:USR0000CWHT
2016-06-20,57.0,1722,GHCND:USR0000CBOG
2016-06-20,69.0,1267,GHCND:USR0000CLAS
2016-06-20,56.0,1725,GHCND:USR0000CMAN
2016-06-20,64.0,1767,GHCND:USR0000CWES
2016-06-19,53.0,1722,GHCND:USR0000CBOG
2016-06-19,65.0,1267,GHCND:USR0000CLAS
2016-06-19,53.0,1725,GHCND:USR0000CMAN
2016-06-19,59.0,1767,GHCND:USR0000CWES
2016-06-19,67.0,736,GHCND:USR0000CWHT
2015-06-22,71.0,736,GHCND:USR0000CWHT
2015-06-22,58.0,1722,GHCND:USR0000CBOG
