date,value,elevation,station_id
2018-06-22,83.0,1380,GHCND:USC00041700
2018-06-22,80.0,1752,GHCND:USC00045311
2018-06-22,79.0,1485,GHCND:USC00045679
2018-06-22,82.0,1722,GHCND:USR0000CBOG
2018-06-22,91.0,1267,GHCND:USR0000CLAS
2018-06-22,81.0,1725,GHCND:USR0000CMAN
2018-06-22,81.0,1767,GHCND:USR0000CWES
2018-06-22,96.0,736,GHCND:USR0000CWHT
2018-06-21,82.0,1380,GHCND:USC00041700
2018-06-21,75.0,1752,GHCND:USC00045311
2018-06-21,78.0,1485,GHCND:USC00045679
2018-06-21,81.0,1722,GHCND:USR0000CBOG
2018-06-21,87.0,1267,GHCND:USR0000CLAS
2018-06-21,77.0,1725,GHCND:USR0000CMAN
2018-06-21,78.0,1767,GHCND:USR0000CWES
2018-06-21,93.0,736,GHCND:USR0000CWHT
2018-06-20,79.0,1380,GHCND:USC00041700
2018-06-20,76.0,1485,GHCND:USC00045679
2018-06-20,79.0,1722,GHCND:USR0000CBOG
2018-06-20,84.0,1267,GHCND:USR0000CLAS
2018-06-20,74.0,1725,GHCND:USR0000CMAN
2018-06-20,76.0,1767,GHCND:USR0000CWES
2018-06-20,90.0,736,GHCND:USR0000CWHT
2018-06-19,72.0,1380,GHCND:USC00041700
2018-06-19,66.0,1752,GHCND:USC00045311
2018-06-19,69.0,1485,GHCND:USC00045679
2018-06-19,75.0,1722,GHCND:USR0000CBOG
2018-06-19,84.0,1267,GHCND:USR0000CLAS
2018-06-19,74.0,1725,GHCND:USR0000CMAN
2018-06-19,74.0,1767,GHCND:USR0000CWES
2018-06-19,90.0,736,GHCND:USR0000CWHT
2017-06-22,93.0,1380,GHCND:USC00041700
2017-06-22,82.0,1752,GHCND:USC00045311
2017-06-22,89.0,1485,GHCND:USC00045679
2017-06-22,87.0,1722,GHCND:USR0000CBOG
2017-06-22,99.0,1267,GHCND:USR0000CLAS
2017-06-22,88.0,1725,GHCND:USR0000CMAN
2017-06-22,82.0,1767,GHCND:USR0000CWES
2017-06-22,104.0,736,GHCND:USR0000CWHT
2017-06-21,93.0,1380,GHCND:USC00041700
2017-06-21,66.0,1752,GHCND:USC00045311
2017-06-21,87.0,1485,GHCND:USC00045679
2017-06-21,87.0,1722,GHCND:USR0000CBOG
2017-06-21,99.0,1267,GHCND:USR0000CLAS
2017-06-21,88.0,1725,GHCND:USR0000CMAN
2017-06-21,86.0,1767,GHCND:USR0000CWES
2017-06-21,104.0,736,GHCND:USR0000CWHT
2017-06-20,93.0,1380,GHCND:USC00041700
2017-06-20,87.0,1752,GHCND:USC00045311
2017-06-20,88.0,1485,GHCND:USC00045679
2017-06-20,90.0,1722,GHCND:USR0000CBOG
2017-06-20,98.0,1267,GHCND:USR0000CLAS
2017-06-20,88.0,1725,GHCND:USR0000CMAN
2017-06-20,88.0,1767,GHCND:USR0000CWES
2017-06-20,103.0,736,GHCND:USR0000CWHT
2017-06-19,89.0,1380,GHCND:USC00041700
2017-06-19,89.0,1752,GHCND:USC00045311
2017-06-19,85.0,1485,GHCND:USC00045679
2017-06-19,84.0,1722,GHCND:USR0000CBOG
2017-06-19,94.0,1267,GHCND:USR0000CLAS
2017-06-19,86.0,1725,GHCND:USR0000CMAN
2017-06-19,84.0,1767,GHCND:USR0000CWES
2017-06-19,98.0,736,GHCND:USR0000CWHT
2016-06-22,85.0,1380,GHCND:USC00041700
2016-06-22,81.0,1752,GHCND:USC00045311
2016-06-22,81.0,1722,GHCND:USR0000CBOG
2016-06-22,85.0,1267,GHCND:USR0000CLAS
2016-06-22,75.0,1725,GHCND:USR0000CMAN
2016-06-22,77.0,1767,GHCND:USR0000CWES
2016-06-22,91.0,736,GHCND:USR0000CWHT
2016-06-21,82.0,1380,GHCND:USC00041700
2016-06-21,84.0,1722,GHCND:USR0000CBOG
2016-06-21,86.0,1267,GHCND:USR0000CLAS
2016-06-21,78.0,1725,GHCND:USR0000CMAN
2016-06-21,80.0,1767,GHCND:USR0000CWES
2016-06-21,92.0,736,GHCND:USR0000CWHT
2016-06-20,77.0,1380,GHCND:USC00041700
2016-06-20,79.0,1722,GHCND:USR0000CBOG
2016-06-20,83.0,1267,GHCND:USR0000CLAS
2016-06-20,72.0,1725,GHCND:USR0000CMAN
2016-06-20,75.0,1767,GHCND:USR0000CWES
2016-06-20,88.0,736,GHCND:USR0000CWHT
2016-06-19,67.0,1380,GHCND:USC00041700
2016-06-19,74.0,1722,GHCND:USR0000CBOG
2016-06-19,78.0,1267,GHCND:USR0000CLAS
2016-06-19,69.0,1725,GHCND:USR0000CMAN
2016-06-19,70.0,1767,GHCND:USR0000CWES
2016-06-19,83.0,736,GHCND:USR0000CWHT
2015-06-22,85.0,1380,GHCND:USC00041700
2015-06-22,72.0,1752,GHCND:USC00045311
