date,value,elevation,station_id
2018-06-22,44.0,1380,GHCND:USC00041700
2018-06-22,45.0,1752,GHCND:USC00045311
2018-06-22,40.0,1485,GHCND:USC00045679
2018-06-22,35.0,1722,GHCND:USR0000CBOG
2018-06-22,65.0,1267,GHCND:USR0000CLAS
2018-06-22,44.0,1725,GHCND:USR0000CMAN
2018-06-22,56.0,1767,GHCND:USR0000CWES
2018-06-22,66.0,736,GHCND:USR0000CWHT
2018-06-21,44.0,1380,GHCND:USC00041700
2018-06-21,42.0,1752,GHCND:USC00045311
2018-06-21,41.0,1485,GHCND:USC00045679
2018-06-21,35.0,1722,GHCND:USR0000CBOG
2018-06-21,60.0,1267,GHCND:USR0000CLAS
2018-06-21,43.0,1725,GHCND:USR0000CMAN
2018-06-21,53.0,1767,GHCND:USR0000CWES
2018-06-21,57.0,736,GHCND:USR0000CWHT
2018-06-20,44.0,1380,GHCND:USC00041700
2018-06-20,43.0,1485,GHCND:USC00045679
2018-06-20,38.0,1722,GHCND:USR0000CBOG
2018-06-20,62.0,1267,GHCND:USR0000CLAS
2018-06-20,47.0,1725,GHCND:USR0000CMAN
2018-06-20,54.0,1767,GHCND:USR0000CWES
2018-06-20,61.0,736,GHCND:USR0000CWHT
2018-06-19,42.0,1380,GHCND:USC00041700
2018-06-19,41.0,1752,GHCND:USC00045311
2018-06-19,41.0,1485,GHCND:USC00045679
2018-06-19,34.0,1722,GHCND:USR0000CBOG
2018-06-19,59.0,1267,GHCND:USR0000CLAS
2018-06-19,42.0,1725,GHCND:USR0000CMAN
2018-06-19,50.0,1767,GHCND:USR0000CWES
2018-06-19,60.0,736,GHCND:USR0000CWHT
2017-06-22,54.0,1380,GHCND:USC00041700
2017-06-22,52.0,1752,GHCND:USC00045311
2017-06-22,55.0,1485,GHCND:USC00045679
2017-06-22,42.0,1722,GHCND:USR0000CBOG
2017-06-22,77.0,1267,GHCND:USR0000CLAS
2017-06-22,58.0,1725,GHCND:USR0000CMAN
2017-06-22,63.0,1767,GHCND:USR0000CWES
2017-06-22,75.0,736,GHCND:USR0000CWHT
2017-06-21,54.0,1380,GHCND:USC00041700
2017-06-21,40.0,1752,GHCND:USC00045311
2017-06-21,52.0,1485,GHCND:USC00045679
2017-06-21,48.0,1722,GHCND:USR0000CBOG
2017-06-21,73.0,1267,GHCND:USR0000CLAS
2017-06-21,57.0,1725,GHCND:USR0000CMAN
2017-06-21,60.0,1767,GHCND:USR0000CWES
2017-06-21,74.0,736,GHCND:USR0000CWHT
2017-06-20,54.0,1380,GHCND:USC00041700
2017-06-20,52.0,1752,GHCND:USC00045311
2017-06-20,54.0,1485,GHCND:USC00045679
2017-06-20,47.0,1722,GHCND:USR0000CBOG
2017-06-20,73.0,1267,GHCND:USR0000CLAS
2017-06-20,56.0,1725,GHCND:USR0000CMAN
2017-06-20,66.0,1767,GHCND:USR0000CWES
2017-06-20,70.0,736,GHCND:USR0000CWHT
2017-06-19,55.0,1380,GHCND:USC00041700
2017-06-19,58.0,1752,GHCND:USC00045311
2017-06-19,52.0,1485,GHCND:USC00045679
2017-06-19,49.0,1722,GHCND:USR0000CBOG
2017-06-19,76.0,1267,GHCND:USR0000CLAS
2017-06-19,58.0,1725,GHCND:USR0000CMAN
2017-06-19,68.0,1767,GHCND:USR0000CWES
2017-06-19,70.0,736,GHCND:USR0000CWHT
2016-06-22,45.0,1380,GHCND:USC00041700
2016-06-22,45.0,1752,GHCND:USC00045311
2016-06-22,36.0,1722,GHCND:USR0000CBOG
2016-06-22,62.0,1267,GHCND:USR0000CLAS
2016-06-22,44.0,1725,GHCND:USR0000CMAN
2016-06-22,57.0,1767,GHCND:USR0000CWES
2016-06-22,64.0,736,GHCND:USR0000CWHT
2016-06-21,39.0,1380,GHCND:USC00041700
2016-06-21,33.0,1722,GHCND:USR0000CBOG
2016-06-21,62.0,1267,GHCND:USR0000CLAS
2016-06-21,41.0,1725,GHCND:USR0000CMAN
2016-06-21,54.0,1767,GHCND:USR0000CWES
2016-06-21,61.0,736,GHCND:USR0000CWHT
2016-06-20,39.0,1380,GHCND:USC00041700
2016-06-20,31.0,1722,GHCND:USR0000CBOG
2016-06-20,57.0,1267,GHCND:USR0000CLAS
2016-06-20,36.0,1725,GHCND:USR0000CMAN
2016-06-20,53.0,1767,GHCND:USR0000CWES
2016-06-20,52.0,736,GHCND:USR0000CWHT
2016-06-19,37.0,1380,GHCND:USC00041700
2016-06-19,28.0,1722,GHCND:USR0000CBOG
2016-06-19,53.0,1267,GHCND:USR0000CLAS
2016-06-19,32.0,1725,GHCND:USR0000CMAN
2016-06-19,47.0,1767,GHCND:USR0000CWES
2016-06-19,51.0,736,GHCND:USR0000CWHT
2015-06-22,41.0,1380,GHCND:USC00041700
2015-06-22,40.0,1752,GHCND:USC00045311
2015-06-22,36.0,1485,GHCND:USC00045679
2015-06-22,30.0,1722,GHCND:USR0000CBOG
2015-06-22,58.0,1267,GHCND:USR0000CLAS
2015-06-22,40.0,1725,GHCND:USR0000CMAN
2015-06-22,52.0,1767,GHCND:USR0000CWES
2015-06-22,54.0,736,GHCND:USR0000CWHT
2015-06-21,46.0,1380,GHCND:USC00041700
2015-06-21,44.0,1752,GHCND:USC00045311
2015-06-21,37.0,1722,GHCND:USR0000CBOG
2015-06-21,60.0,1267,GHCND:USR0000CLAS
2015-06-21,43.0,1725,GHCND:USR0000CMAN
2015-06-21,54.0,1767,GHCND:USR0000CWES
2015-06-21,60.0,736,GHCND:USR0000CWHT
2015-06-20,44.0,1380,GHCND:USC00041700
2015-06-20,33.0,1752,GHCND:USC00045311
2015-06-20,33.0,1722,GHCND:USR0000CBOG
2015-06-20,62.0,1267,GHCND:USR0000CLAS
2015-06-20,42.0,1725,GHCND:USR0000CMAN
2015-06-20,56.0,1767,GHCND:USR0000CWES
2015-06-20,58.0,736,GHCND:USR0000CWHT
2015-06-19,44.0,1380,GHCND:USC00041700
2015-06-19,44.0,1752,GHCND:USC00045311
2015-06-19,33.0,1722,GHCND:USR0000CBOG
2015-06-19,59.0,1267,GHCND:USR0000CLAS
2015-06-19,41.0,1725,GHCND:USR0000CMAN
2015-06-19,55.0,1767,GHCND:USR0000CWES
2015-06-19,56.0,736,GHCND:USR0000CWHT
2014-06-22,42.0,1380,GHCND:USC00041700
2014-06-22,42.0,1380,GHCND:USC00041700
2014-06-22,46.0,1752,GHCND:USC00045311
2014-06-22,39.0,1485,GHCND:USC00045679
2014-06-22,32.0,1722,GHCND:USR0000CBOG
2014-06-22,60.0,1267,GHCND:USR0000CLAS
2014-06-22,41.0,1725,GHCND:USR0000CMAN
2014-06-22,50.0,1767,GHCND:USR0000CWES
2014-06-22,59.0,736,GHCND:USR0000CWHT
2014-06-21,44.0,1380,GHCND:USC00041700
2014-06-21,40.0,1752,GHCND:USC00045311
2014-06-21,31.0,1485,GHCND:USC00045679
2014-06-21,32.0,1722,GHCND:USR0000CBOG
2014-06-21,59.0,1267,GHCND:USR0000CLAS
2014-06-21,42.0,1725,GHCND:USR0000CMAN
2014-06-21,54.0,1767,GHCND:USR0000CWES
2014-06-21,59.0,736,GHCND:USR0000CWHT
2014-06-20,39.0,1380,GHCND:USC00041700
2014-06-20,34.0,1752,GHCND:USC00045311
2014-06-20,33.0,1722,GHCND:USR0000CBOG
2014-06-20,59.0,1267,GHCND:USR0000CLAS
2014-06-20,39.0,1725,GHCND:USR0000CMAN
2014-06-20,53.0,1767,GHCND:USR0000CWES
2014-06-20,57.0,736,GHCND:USR0000CWHT
2014-06-19,34.0,1380,GHCND:USC00041700
2014-06-19,29.0,1722,GHCND:USR0000CBOG
