date,value,elevation,station_id
2018-07-09,67.0,998,GHCND:USR0000OBUE
2018-07-09,65.0,1437,GHCND:USR0000OMOU
2018-07-09,62.0,1024,GHCND:USR0000OTOK
2018-07-09,61.0,1478,GHCND:USS0021F22S
2018-07-09,61.0,1645,GHCND:USS0021G17S
2018-07-09,58.0,1609,GHCND:USS0022F18S
2018-07-09,61.0,987,GHCND:USS0022F45S
2018-07-09,56.0,1831,GHCND:USS0022G06S
2018-07-09,60.0,1737,GHCND:USS0022G33S
2018-07-08,68.0,998,GHCND:USR0000OBUE
2018-07-08,67.0,1437,GHCND:USR0000OMOU
2018-07-08,63.0,1024,GHCND:USR0000OTOK
2018-07-08,62.0,1478,GHCND:USS0021F22S
2018-07-08,60.0,1645,GHCND:USS0021G17S
2018-07-08,58.0,1609,GHCND:USS0022F18S
2018-07-08,61.0,987,GHCND:USS0022F45S
2018-07-08,56.0,1831,GHCND:USS0022G06S
2018-07-08,60.0,1737,GHCND:USS0022G33S
2018-07-07,66.0,998,GHCND:USR0000OBUE
2018-07-07,63.0,1437,GHCND:USR0000OMOU
2018-07-07,61.0,1024,GHCND:USR0000OTOK
2018-07-07,58.0,1478,GHCND:USS0021F22S
2018-07-07,58.0,1645,GHCND:USS0021G17S
2018-07-07,55.0,1609,GHCND:USS0022F18S
2018-07-07,60.0,987,GHCND:USS0022F45S
2018-07-07,54.0,1831,GHCND:USS0022G06S
2018-07-07,57.0,1737,GHCND:USS0022G33S
2018-07-06,67.0,998,GHCND:USR0000OBUE
2018-07-06,63.0,1437,GHCND:USR0000OMOU
2018-07-06,62.0,1024,GHCND:USR0000OTOK
2018-07-06,59.0,1478,GHCND:USS0021F22S
2018-07-06,58.0,1645,GHCND:USS0021G17S
2018-07-06,56.0,1609,GHCND:USS0022F18S
2018-07-06,61.0,987,GHCND:USS0022F45S
2018-07-06,54.0,1831,GHCND:USS0022G06S
2018-07-06,57.0,1737,GHCND:USS0022G33S
2018-07-05,69.0,998,GHCND:USR0000OBUE
2018-07-05,65.0,1437,GHCND:USR0000OMOU
2018-07-05,64.0,1024,GHCND:USR0000OTOK
2018-07-05,60.0,1478,GHCND:USS0021F22S
2018-07-05,60.0,1645,GHCND:USS0021G17S
2018-07-05,58.0,1609,GHCND:USS0022F18S
2018-07-05,62.0,987,GHCND:USS0022F45S
2018-07-05,55.0,1831,GHCND:USS0022G06S
2018-07-05,59.0,1737,GHCND:USS0022G33S
2018-07-04,59.0,1737,GHCND:USS0022G33S
2018-07-04,66.0,998,GHCND:USR0000OBUE
2018-07-04,66.0,1437,GHCND:USR0000OMOU
2018-07-04,63.0,1024,GHCND:USR0000OTOK
2018-07-04,62.0,1478,GHCND:USS0021F22S
2018-07-04,60.0,1645,GHCND:USS0021G17S
2018-07-04,59.0,1609,GHCND:USS0022F18S
2018-07-04,61.0,987,GHCND:USS0022F45S
2018-07-04,56.0,1831,GHCND:USS0022G06S
2018-07-03,52.0,1737,GHCND:USS0022G33S
2018-07-03,62.0,998,GHCND:USR0000OBUE
2018-07-03,58.0,1437,GHCND:USR0000OMOU
2018-07-03,56.0,1024,GHCND:USR0000OTOK
2018-07-03,53.0,1478,GHCND:USS0021F22S
2018-07-03,52.0,1645,GHCND:USS0021G17S
2018-07-03,51.0,1609,GHCND:USS0022F18S
2018-07-03,55.0,987,GHCND:USS0022F45S
2018-07-03,49.0,1831,GHCND:USS0022G06S
2018-07-02,53.0,1737,GHCND:USS0022G33S
2018-07-02,61.0,998,GHCND:USR0000OBUE
2018-07-02,58.0,1437,GHCND:USR0000OMOU
2018-07-02,56.0,1024,GHCND:USR0000OTOK
2018-07-02,55.0,1478,GHCND:USS0021F22S
2018-07-02,55.0,1645,GHCND:USS0021G17S
2018-07-02,50.0,1609,GHCND:USS0022F18S
2018-07-02,55.0,987,GHCND:USS0022F45S
2018-07-02,51.0,1831,GHCND:USS0022G06S
2018-07-01,69.0,998,GHCND:USR0000OBUE
2018-07-01,65.0,1437,GHCND:USR0000OMOU
2018-07-01,62.0,1024,GHCND:USR0000OTOK
2018-07-01,66.0,1246,GHCND:USR0000OZIM
2018-07-01,60.0,1478,GHCND:USS0021F22S
2018-07-01,60.0,1645,GHCND:USS0021G17S
2018-07-01,55.0,1609,GHCND:USS0022F18S
2018-07-01,61.0,987,GHCND:USS0022F45S
2018-07-01,56.0,1831,GHCND:USS0022G06S
2018-07-01,59.0,1737,GHCND:USS0022G33S
2017-07-09,64.0,1737,GHCND:USS0022G33S
2017-07-09,72.0,998,GHCND:USR0000OBUE
2017-07-09,70.0,1437,GHCND:USR0000OMOU
2017-07-09,66.0,1024,GHCND:USR0000OTOK
2017-07-09,69.0,1246,GHCND:USR0000OZIM
2017-07-09,65.0,1478,GHCND:USS0021F22S
2017-07-09,65.0,1645,GHCND:USS0021G17S
2017-07-09,60.0,1609,GHCND:USS0022F18S
2017-07-09,64.0,987,GHCND:USS0022F45S
2017-07-09,60.0,1831,GHCND:USS0022G06S
2017-07-08,73.0,998,GHCND:USR0000OBUE
2017-07-08,75.0,1437,GHCND:USR0000OMOU
2017-07-08,69.0,1024,GHCND:USR0000OTOK
2017-07-08,73.0,1246,GHCND:USR0000OZIM
2017-07-08,68.0,1478,GHCND:USS0021F22S
2017-07-08,67.0,1645,GHCND:USS0021G17S
2017-07-08,64.0,1609,GHCND:USS0022F18S
2017-07-08,67.0,987,GHCND:USS0022F45S
2017-07-08,62.0,1831,GHCND:USS0022G06S
2017-07-08,67.0,1737,GHCND:USS0022G33S
2017-07-07,66.0,1737,GHCND:USS0022G33S
2017-07-07,74.0,998,GHCND:USR0000OBUE
2017-07-07,73.0,1437,GHCND:USR0000OMOU
2017-07-07,69.0,1024,GHCND:USR0000OTOK
2017-07-07,73.0,1246,GHCND:USR0000OZIM
2017-07-07,66.0,1478,GHCND:USS0021F22S
2017-07-07,67.0,1645,GHCND:USS0021G17S
2017-07-07,63.0,1609,GHCND:USS0022F18S
2017-07-07,67.0,987,GHCND:USS0022F45S
2017-07-07,61.0,1831,GHCND:USS0022G06S
2017-07-06,77.0,998,GHCND:USR0000OBUE
2017-07-06,76.0,1437,GHCND:USR0000OMOU
