date,value,elevation,station_id
2018-07-09,82.0,1450,GHCND:USC00351546
2018-07-09,84.0,1274,GHCND:USC00351574
2018-07-09,68.0,1976,GHCND:USC00351946
2018-07-09,68.0,1976,GHCND:USC00351946
2018-07-09,91.0,481,GHCND:USC00355055
2018-07-09,87.0,756,GHCND:USC00356907
2018-07-09,83.0,998,GHCND:USR0000OBUE
2018-07-09,82.0,1437,GHCND:USR0000OMOU
2018-07-09,79.0,1024,GHCND:USR0000OTOK
2018-07-09,81.0,1478,GHCND:USS0021F22S
2018-07-09,76.0,1645,GHCND:USS0021G17S
2018-07-09,72.0,1609,GHCND:USS0022F18S
2018-07-09,77.0,987,GHCND:USS0022F45S
2018-07-09,70.0,1831,GHCND:USS0022G06S
2018-07-09,72.0,1737,GHCND:USS0022G33S
2018-07-08,81.0,1450,GHCND:USC00351546
2018-07-08,81.0,1274,GHCND:USC00351574
2018-07-08,67.0,1976,GHCND:USC00351946
2018-07-08,87.0,481,GHCND:USC00355055
2018-07-08,84.0,756,GHCND:USC00356907
2018-07-08,86.0,998,GHCND:USR0000OBUE
2018-07-08,80.0,1437,GHCND:USR0000OMOU
2018-07-08,82.0,1024,GHCND:USR0000OTOK
2018-07-08,81.0,1478,GHCND:USS0021F22S
2018-07-08,75.0,1645,GHCND:USS0021G17S
2018-07-08,73.0,1609,GHCND:USS0022F18S
2018-07-08,81.0,987,GHCND:USS0022F45S
2018-07-08,70.0,1831,GHCND:USS0022G06S
2018-07-08,72.0,1737,GHCND:USS0022G33S
2018-07-07,78.0,1450,GHCND:USC00351546
2018-07-07,79.0,1274,GHCND:USC00351574
2018-07-07,65.0,1976,GHCND:USC00351946
2018-07-07,86.0,481,GHCND:USC00355055
2018-07-07,84.0,756,GHCND:USC00356907
2018-07-07,84.0,998,GHCND:USR0000OBUE
2018-07-07,80.0,1437,GHCND:USR0000OMOU
2018-07-07,77.0,1024,GHCND:USR0000OTOK
2018-07-07,77.0,1478,GHCND:USS0021F22S
2018-07-07,74.0,1645,GHCND:USS0021G17S
2018-07-07,72.0,1609,GHCND:USS0022F18S
2018-07-07,76.0,987,GHCND:USS0022F45S
2018-07-07,68.0,1831,GHCND:USS0022G06S
2018-07-07,70.0,1737,GHCND:USS0022G33S
2018-07-06,80.0,1450,GHCND:USC00351546
2018-07-06,82.0,1274,GHCND:USC00351574
2018-07-06,68.0,1976,GHCND:USC00351946
2018-07-06,90.0,481,GHCND:USC00355055
2018-07-06,87.0,756,GHCND:USC00356907
2018-07-06,85.0,998,GHCND:USR0000OBUE
2018-07-06,79.0,1437,GHCND:USR0000OMOU
2018-07-06,78.0,1024,GHCND:USR0000OTOK
2018-07-06,76.0,1478,GHCND:USS0021F22S
2018-07-06,70.0,1645,GHCND:USS0021G17S
2018-07-06,69.0,1609,GHCND:USS0022F18S
2018-07-06,77.0,987,GHCND:USS0022F45S
2018-07-06,67.0,1831,GHCND:USS0022G06S
2018-07-06,70.0,1737,GHCND:USS0022G33S
2018-07-05,82.0,1274,GHCND:USC00351574
2018-07-05,68.0,1976,GHCND:USC00351946
2018-07-05,89.0,481,GHCND:USC00355055
2018-07-05,86.0,756,GHCND:USC00356907
2018-07-05,88.0,998,GHCND:USR0000OBUE
2018-07-05,81.0,1437,GHCND:USR0000OMOU
2018-07-05,84.0,1024,GHCND:USR0000OTOK
