date,value,elevation,station_id
2018-07-09,40.0,1274,GHCND:USC00351574
2018-07-09,42.0,1976,GHCND:USC00351946
2018-07-09,47.0,481,GHCND:USC00355055
2018-07-09,48.0,756,GHCND:USC00356907
2018-07-09,51.0,998,GHCND:USR0000OBUE
2018-07-09,51.0,1437,GHCND:USR0000OMOU
2018-07-09,47.0,1024,GHCND:USR0000OTOK
2018-07-09,42.0,1478,GHCND:USS0021F22S
2018-07-09,47.0,1645,GHCND:USS0021G17S
2018-07-09,44.0,1609,GHCND:USS0022F18S
2018-07-09,46.0,987,GHCND:USS0022F45S
2018-07-09,43.0,1831,GHCND:USS0022G06S
2018-07-09,50.0,1737,GHCND:USS0022G33S
2018-07-09,35.0,1450,GHCND:USC00351546
2018-07-08,38.0,1274,GHCND:USC00351574
2018-07-08,40.0,1976,GHCND:USC00351946
2018-07-08,47.0,481,GHCND:USC00355055
2018-07-08,44.0,756,GHCND:USC00356907
2018-07-08,50.0,998,GHCND:USR0000OBUE
2018-07-08,55.0,1437,GHCND:USR0000OMOU
2018-07-08,44.0,1024,GHCND:USR0000OTOK
2018-07-08,42.0,1478,GHCND:USS0021F22S
2018-07-08,42.0,1645,GHCND:USS0021G17S
2018-07-08,41.0,1609,GHCND:USS0022F18S
2018-07-08,44.0,987,GHCND:USS0022F45S
2018-07-08,40.0,1831,GHCND:USS0022G06S
2018-07-08,50.0,1737,GHCND:USS0022G33S
2018-07-08,35.0,1450,GHCND:USC00351546
2018-07-07,36.0,1274,GHCND:USC00351574
2018-07-07,37.0,1976,GHCND:USC00351946
2018-07-07,48.0,481,GHCND:USC00355055
2018-07-07,44.0,756,GHCND:USC00356907
2018-07-07,49.0,998,GHCND:USR0000OBUE
2018-07-07,49.0,1437,GHCND:USR0000OMOU
2018-07-07,44.0,1024,GHCND:USR0000OTOK
2018-07-07,39.0,1478,GHCND:USS0021F22S
2018-07-07,40.0,1645,GHCND:USS0021G17S
2018-07-07,37.0,1609,GHCND:USS0022F18S
2018-07-07,44.0,987,GHCND:USS0022F45S
2018-07-07,37.0,1831,GHCND:USS0022G06S
2018-07-07,43.0,1737,GHCND:USS0022G33S
2018-07-07,32.0,1450,GHCND:USC00351546
2018-07-06,41.0,1274,GHCND:USC00351574
2018-07-06,40.0,1976,GHCND:USC00351946
2018-07-06,49.0,481,GHCND:USC00355055
2018-07-06,48.0,756,GHCND:USC00356907
2018-07-06,54.0,998,GHCND:USR0000OBUE
2018-07-06,52.0,1437,GHCND:USR0000OMOU
2018-07-06,48.0,1024,GHCND:USR0000OTOK
2018-07-06,42.0,1478,GHCND:USS0021F22S
2018-07-06,47.0,1645,GHCND:USS0021G17S
2018-07-06,43.0,1609,GHCND:USS0022F18S
2018-07-06,47.0,987,GHCND:USS0022F45S
2018-07-06,43.0,1831,GHCND:USS0022G06S
2018-07-06,48.0,1737,GHCND:USS0022G33S
2018-07-06,27.0,1450,GHCND:USC00351546
2018-07-05,36.0,1274,GHCND:USC00351574
2018-07-05,38.0,1976,GHCND:USC00351946
2018-07-05,50.0,481,GHCND:USC00355055
2018-07-05,45.0,756,GHCND:USC00356907
2018-07-05,50.0,998,GHCND:USR0000OBUE
2018-07-05,54.0,1437,GHCND:USR0000OMOU
2018-07-05,44.0,1024,GHCND:USR0000OTOK
2018-07-05,39.0,1478,GHCND:USS0021F22S
2018-07-05,46.0,1645,GHCND:USS0021G17S
2018-07-05,42.0,1609,GHCND:USS0022F18S
